Thorlabs Environment Measurement
Device:TSP01B
S/N:M00995273
Measurement Interval:10
Averaging:OFF
Time [s]	Date	Time	Temperature[°C]	Humidity[%]	TH1[°C]	TH2[°C]
10	Jan 21 2024	10:20:07	20.63	8.61	--	--
20	Jan 21 2024	10:20:17	20.63	8.61	--	--
30	Jan 21 2024	10:20:27	20.63	8.61	--	--
40	Jan 21 2024	10:20:37	20.63	8.61	--	--
50	Jan 21 2024	10:20:47	20.63	8.61	--	--
60	Jan 21 2024	10:20:57	20.63	8.61	--	--
70	Jan 21 2024	10:21:07	20.63	8.61	--	--
80	Jan 21 2024	10:21:17	20.63	8.61	--	--
90	Jan 21 2024	10:21:27	20.63	8.61	--	--
100	Jan 21 2024	10:21:37	20.63	8.61	--	--
110	Jan 21 2024	10:21:47	20.63	8.61	--	--
120	Jan 21 2024	10:21:57	20.63	8.61	--	--
130	Jan 21 2024	10:22:07	20.63	8.61	--	--
140	Jan 21 2024	10:22:17	20.63	8.61	--	--
150	Jan 21 2024	10:22:27	20.63	8.61	--	--
160	Jan 21 2024	10:22:37	20.63	8.61	--	--
170	Jan 21 2024	10:22:47	20.63	8.61	--	--
180	Jan 21 2024	10:22:57	20.63	8.61	--	--
190	Jan 21 2024	10:23:08	20.64	8.61	--	--
200	Jan 21 2024	10:23:18	20.64	8.61	--	--
210	Jan 21 2024	10:23:28	20.64	8.61	--	--
220	Jan 21 2024	10:23:38	20.64	8.61	--	--
230	Jan 21 2024	10:23:48	20.64	8.61	--	--
240	Jan 21 2024	10:23:58	20.64	8.61	--	--
250	Jan 21 2024	10:24:08	20.64	8.61	--	--
260	Jan 21 2024	10:24:18	20.64	8.61	--	--
270	Jan 21 2024	10:24:28	20.64	8.61	--	--
280	Jan 21 2024	10:24:38	20.64	8.61	--	--
290	Jan 21 2024	10:24:48	20.64	8.61	--	--
300	Jan 21 2024	10:24:58	20.64	8.61	--	--
310	Jan 21 2024	10:25:08	20.64	8.61	--	--
320	Jan 21 2024	10:25:18	20.64	8.61	--	--
330	Jan 21 2024	10:25:28	20.64	8.61	--	--
340	Jan 21 2024	10:25:38	20.64	8.61	--	--
350	Jan 21 2024	10:25:48	20.64	8.61	--	--
360	Jan 21 2024	10:25:58	20.64	8.61	--	--
370	Jan 21 2024	10:26:08	20.64	8.61	--	--
380	Jan 21 2024	10:26:18	20.64	8.61	--	--
390	Jan 21 2024	10:26:29	20.64	8.61	--	--
400	Jan 21 2024	10:26:39	20.64	8.61	--	--
410	Jan 21 2024	10:26:49	20.64	8.61	--	--
420	Jan 21 2024	10:26:59	20.64	8.61	--	--
430	Jan 21 2024	10:27:09	20.64	8.61	--	--
440	Jan 21 2024	10:27:19	20.64	8.61	--	--
450	Jan 21 2024	10:27:29	20.64	8.61	--	--
460	Jan 21 2024	10:27:39	20.64	8.61	--	--
470	Jan 21 2024	10:27:49	20.64	8.61	--	--
480	Jan 21 2024	10:27:59	20.64	8.61	--	--
490	Jan 21 2024	10:28:09	20.64	8.62	--	--
500	Jan 21 2024	10:28:19	20.65	8.91	--	--
510	Jan 21 2024	10:28:29	20.68	9.10	--	--
520	Jan 21 2024	10:28:39	20.71	9.11	--	--
530	Jan 21 2024	10:28:49	20.74	9.05	--	--
540	Jan 21 2024	10:28:59	20.77	9.01	--	--
550	Jan 21 2024	10:29:10	20.79	8.94	--	--
560	Jan 21 2024	10:29:20	20.81	8.90	--	--
570	Jan 21 2024	10:29:30	20.82	8.86	--	--
580	Jan 21 2024	10:29:40	20.84	8.80	--	--
590	Jan 21 2024	10:29:50	20.85	8.80	--	--
600	Jan 21 2024	10:30:00	20.85	8.80	--	--
610	Jan 21 2024	10:30:10	20.85	8.74	--	--
620	Jan 21 2024	10:30:20	20.86	8.71	--	--
630	Jan 21 2024	10:30:30	20.86	8.71	--	--
640	Jan 21 2024	10:30:40	20.85	8.71	--	--
650	Jan 21 2024	10:30:50	20.85	8.71	--	--
660	Jan 21 2024	10:31:00	20.85	8.71	--	--
670	Jan 21 2024	10:31:10	20.85	8.71	--	--
680	Jan 21 2024	10:31:20	20.85	8.71	--	--
690	Jan 21 2024	10:31:30	20.85	8.71	--	--
700	Jan 21 2024	10:31:40	20.84	8.71	--	--
710	Jan 21 2024	10:31:50	20.84	8.67	--	--
720	Jan 21 2024	10:32:00	20.83	8.65	--	--
730	Jan 21 2024	10:32:10	20.83	8.61	--	--
740	Jan 21 2024	10:32:20	20.83	8.61	--	--
750	Jan 21 2024	10:32:30	20.83	8.60	--	--
760	Jan 21 2024	10:32:41	20.83	8.60	--	--
770	Jan 21 2024	10:32:51	20.83	8.60	--	--
780	Jan 21 2024	10:33:01	20.82	8.60	--	--
790	Jan 21 2024	10:33:11	20.82	8.60	--	--
800	Jan 21 2024	10:33:21	20.82	8.60	--	--
810	Jan 21 2024	10:33:31	20.82	8.60	--	--
820	Jan 21 2024	10:33:41	20.81	8.60	--	--
830	Jan 21 2024	10:33:51	20.81	8.60	--	--
840	Jan 21 2024	10:34:01	20.81	8.60	--	--
850	Jan 21 2024	10:34:11	20.81	8.60	--	--
860	Jan 21 2024	10:34:21	20.80	8.60	--	--
870	Jan 21 2024	10:34:31	20.80	8.60	--	--
880	Jan 21 2024	10:34:41	20.81	8.60	--	--
890	Jan 21 2024	10:34:51	20.80	8.60	--	--
900	Jan 21 2024	10:35:01	20.80	8.60	--	--
910	Jan 21 2024	10:35:11	20.81	8.60	--	--
920	Jan 21 2024	10:35:21	20.80	8.60	--	--
930	Jan 21 2024	10:35:31	20.80	8.60	--	--
940	Jan 21 2024	10:35:41	20.80	8.60	--	--
950	Jan 21 2024	10:35:51	20.80	8.60	--	--
960	Jan 21 2024	10:36:01	20.80	8.60	--	--
970	Jan 21 2024	10:36:11	20.81	8.61	--	--
980	Jan 21 2024	10:36:22	20.80	8.61	--	--
990	Jan 21 2024	10:36:32	20.81	8.60	--	--
1000	Jan 21 2024	10:36:42	20.80	8.60	--	--
1010	Jan 21 2024	10:36:52	20.81	8.60	--	--
1020	Jan 21 2024	10:37:02	20.81	8.60	--	--
1030	Jan 21 2024	10:37:12	20.80	8.60	--	--
1040	Jan 21 2024	10:37:22	20.80	8.60	--	--
1050	Jan 21 2024	10:37:32	20.80	8.60	--	--
1060	Jan 21 2024	10:37:42	20.80	8.60	--	--
1070	Jan 21 2024	10:37:52	20.80	8.60	--	--
1080	Jan 21 2024	10:38:02	20.80	8.60	--	--
1090	Jan 21 2024	10:38:12	20.80	8.60	--	--
1100	Jan 21 2024	10:38:22	20.80	8.60	--	--
1110	Jan 21 2024	10:38:32	20.80	8.60	--	--
1120	Jan 21 2024	10:38:42	20.80	8.60	--	--
1130	Jan 21 2024	10:38:52	20.80	8.60	--	--
1140	Jan 21 2024	10:39:02	20.80	8.60	--	--
1150	Jan 21 2024	10:39:12	20.80	8.60	--	--
1160	Jan 21 2024	10:39:22	20.80	8.59	--	--
1170	Jan 21 2024	10:39:32	20.80	8.57	--	--
1180	Jan 21 2024	10:39:43	20.79	8.57	--	--
1190	Jan 21 2024	10:39:53	20.79	8.54	--	--
1200	Jan 21 2024	10:40:03	20.79	8.56	--	--
1210	Jan 21 2024	10:40:13	20.79	8.57	--	--
1220	Jan 21 2024	10:40:23	20.79	8.56	--	--
1230	Jan 21 2024	10:40:33	20.79	8.54	--	--
1240	Jan 21 2024	10:40:43	20.79	8.57	--	--
1250	Jan 21 2024	10:40:53	20.79	8.56	--	--
1260	Jan 21 2024	10:41:03	20.79	8.52	--	--
1270	Jan 21 2024	10:41:13	20.79	8.52	--	--
1280	Jan 21 2024	10:41:23	20.79	8.53	--	--
1290	Jan 21 2024	10:41:33	20.79	8.56	--	--
1300	Jan 21 2024	10:41:43	20.78	8.59	--	--
1310	Jan 21 2024	10:41:53	20.79	8.60	--	--
1320	Jan 21 2024	10:42:03	20.79	8.59	--	--
1330	Jan 21 2024	10:42:13	20.79	8.57	--	--
1340	Jan 21 2024	10:42:23	20.79	8.56	--	--
1350	Jan 21 2024	10:42:33	20.78	8.53	--	--
1360	Jan 21 2024	10:42:43	20.79	8.54	--	--
1370	Jan 21 2024	10:42:53	20.78	8.54	--	--
1380	Jan 21 2024	10:43:03	20.79	8.57	--	--
1390	Jan 21 2024	10:43:14	20.79	8.57	--	--
1400	Jan 21 2024	10:43:24	20.78	8.55	--	--
1410	Jan 21 2024	10:43:34	20.79	8.53	--	--
1420	Jan 21 2024	10:43:44	20.78	8.53	--	--
1430	Jan 21 2024	10:43:54	20.78	8.52	--	--
