Thorlabs Environment Measurement
Device:TSP01B
S/N:M00995273
Measurement Interval:10
Averaging:OFF
Time [s]	Date	Time	Temperature[�C]	Humidity[%]	TH1[�C]	TH2[�C]
0	Jan 11 2024	11:04:45	21.54	21.80	--	--
10	Jan 11 2024	11:04:55	21.55	21.80	--	--
20	Jan 11 2024	11:05:05	21.55	21.80	--	--
30	Jan 11 2024	11:05:15	21.56	21.80	--	--
40	Jan 11 2024	11:05:25	21.56	21.80	--	--
50	Jan 11 2024	11:05:35	21.56	21.80	--	--
60	Jan 11 2024	11:05:45	21.56	21.80	--	--
70	Jan 11 2024	11:05:55	21.56	21.80	--	--
80	Jan 11 2024	11:06:06	21.56	21.80	--	--
90	Jan 11 2024	11:06:16	21.57	21.80	--	--
100	Jan 11 2024	11:06:26	21.57	21.80	--	--
110	Jan 11 2024	11:06:36	21.58	21.80	--	--
120	Jan 11 2024	11:06:46	21.57	21.80	--	--
130	Jan 11 2024	11:06:56	21.59	21.80	--	--
140	Jan 11 2024	11:07:06	21.59	21.80	--	--
150	Jan 11 2024	11:07:16	21.59	21.80	--	--
160	Jan 11 2024	11:07:26	21.59	21.80	--	--
170	Jan 11 2024	11:07:36	21.59	21.82	--	--
180	Jan 11 2024	11:07:46	21.59	21.82	--	--
190	Jan 11 2024	11:07:56	21.59	21.87	--	--
200	Jan 11 2024	11:08:06	21.60	21.80	--	--
210	Jan 11 2024	11:08:16	21.60	21.80	--	--
220	Jan 11 2024	11:08:26	21.60	21.80	--	--
230	Jan 11 2024	11:08:36	21.59	21.80	--	--
240	Jan 11 2024	11:08:46	21.61	21.80	--	--
250	Jan 11 2024	11:08:56	21.60	21.80	--	--
260	Jan 11 2024	11:09:06	21.61	21.80	--	--
270	Jan 11 2024	11:09:16	21.61	21.80	--	--
280	Jan 11 2024	11:09:26	21.61	21.91	--	--
290	Jan 11 2024	11:09:37	21.62	21.91	--	--
300	Jan 11 2024	11:09:47	21.61	22.01	--	--
310	Jan 11 2024	11:09:57	21.60	21.91	--	--
320	Jan 11 2024	11:10:07	21.62	21.91	--	--
330	Jan 11 2024	11:10:17	21.62	21.80	--	--
340	Jan 11 2024	11:10:27	21.62	21.80	--	--
350	Jan 11 2024	11:10:37	21.62	21.80	--	--
360	Jan 11 2024	11:10:47	21.62	21.80	--	--
370	Jan 11 2024	11:10:57	21.62	21.82	--	--
380	Jan 11 2024	11:11:07	21.62	21.91	--	--
390	Jan 11 2024	11:11:17	21.62	21.91	--	--
