Thorlabs Environment Measurement
Device:TSP01B
S/N:M00995273
Measurement Interval:10
Averaging:ON
Time [s]	Date	Time	Temperature[°C]	Humidity[%]	TH1[°C]	TH2[°C]
10	Jan 31 2024	15:30:16	21.13	6.35	--	--
20	Jan 31 2024	15:30:26	21.14	6.37	--	--
30	Jan 31 2024	15:30:36	21.14	6.38	--	--
40	Jan 31 2024	15:30:46	21.14	6.38	--	--
50	Jan 31 2024	15:30:56	21.14	6.39	--	--
60	Jan 31 2024	15:31:06	21.14	6.39	--	--
70	Jan 31 2024	15:31:16	21.14	6.39	--	--
80	Jan 31 2024	15:31:26	21.14	6.39	--	--
90	Jan 31 2024	15:31:36	21.14	6.39	--	--
100	Jan 31 2024	15:31:46	21.14	6.39	--	--
110	Jan 31 2024	15:31:56	21.14	6.39	--	--
120	Jan 31 2024	15:32:06	21.14	6.39	--	--
130	Jan 31 2024	15:32:16	21.14	6.39	--	--
140	Jan 31 2024	15:32:26	21.14	6.39	--	--
150	Jan 31 2024	15:32:36	21.14	6.39	--	--
160	Jan 31 2024	15:32:46	21.15	6.39	--	--
170	Jan 31 2024	15:32:56	21.14	6.39	--	--
180	Jan 31 2024	15:33:06	21.15	6.39	--	--
190	Jan 31 2024	15:33:16	21.15	6.39	--	--
200	Jan 31 2024	15:33:26	21.15	6.39	--	--
210	Jan 31 2024	15:33:36	21.15	6.39	--	--
220	Jan 31 2024	15:33:46	21.15	6.39	--	--
230	Jan 31 2024	15:33:56	21.15	6.39	--	--
240	Jan 31 2024	15:34:06	21.15	6.39	--	--
250	Jan 31 2024	15:34:16	21.15	6.39	--	--
260	Jan 31 2024	15:34:26	21.15	6.39	--	--
270	Jan 31 2024	15:34:36	21.15	6.39	--	--
280	Jan 31 2024	15:34:46	21.15	6.39	--	--
290	Jan 31 2024	15:34:56	21.15	6.39	--	--
300	Jan 31 2024	15:35:06	21.15	6.39	--	--
310	Jan 31 2024	15:35:16	21.15	6.39	--	--
320	Jan 31 2024	15:35:26	21.15	6.39	--	--
330	Jan 31 2024	15:35:36	21.15	6.39	--	--
340	Jan 31 2024	15:35:47	21.15	6.39	--	--
350	Jan 31 2024	15:35:57	21.15	6.39	--	--
360	Jan 31 2024	15:36:07	21.15	6.39	--	--
370	Jan 31 2024	15:36:17	21.16	6.39	--	--
380	Jan 31 2024	15:36:27	21.16	6.39	--	--
390	Jan 31 2024	15:36:37	21.15	6.39	--	--
400	Jan 31 2024	15:36:47	21.16	6.39	--	--
410	Jan 31 2024	15:36:57	21.16	6.39	--	--
420	Jan 31 2024	15:37:07	21.16	6.39	--	--
430	Jan 31 2024	15:37:17	21.16	6.39	--	--
440	Jan 31 2024	15:37:27	21.16	6.39	--	--
450	Jan 31 2024	15:37:37	21.16	6.39	--	--
460	Jan 31 2024	15:37:47	21.16	6.39	--	--
470	Jan 31 2024	15:37:57	21.16	6.39	--	--
