Thorlabs Environment Measurement
Device:TSP01B
S/N:M00995273
Measurement Interval:10
Averaging:OFF
Time [s]	Date	Time	Temperature[�C]	Humidity[%]	TH1[�C]	TH2[�C]
0	Jan 08 2024	10:10:55	20.87	8.50	--	--
10	Jan 08 2024	10:11:06	20.86	8.52	--	--
20	Jan 08 2024	10:11:16	20.85	8.50	--	--
30	Jan 08 2024	10:11:26	20.86	8.50	--	--
40	Jan 08 2024	10:11:36	20.86	8.50	--	--
50	Jan 08 2024	10:11:46	20.85	8.50	--	--
60	Jan 08 2024	10:11:56	20.85	8.50	--	--
70	Jan 08 2024	10:12:06	20.85	8.50	--	--
80	Jan 08 2024	10:12:16	20.85	8.50	--	--
90	Jan 08 2024	10:12:26	20.85	8.50	--	--
100	Jan 08 2024	10:12:36	20.85	8.50	--	--
110	Jan 08 2024	10:12:46	20.85	8.50	--	--
120	Jan 08 2024	10:12:56	20.85	8.50	--	--
130	Jan 08 2024	10:13:06	20.85	8.90	--	--
140	Jan 08 2024	10:13:16	20.87	9.01	--	--
150	Jan 08 2024	10:13:26	20.86	8.96	--	--
160	Jan 08 2024	10:13:36	20.85	8.90	--	--
170	Jan 08 2024	10:13:46	20.86	8.80	--	--
180	Jan 08 2024	10:13:56	20.86	8.80	--	--
190	Jan 08 2024	10:14:06	20.86	8.80	--	--
200	Jan 08 2024	10:14:16	20.87	8.80	--	--
210	Jan 08 2024	10:14:27	20.87	8.80	--	--
220	Jan 08 2024	10:14:37	20.87	8.80	--	--
230	Jan 08 2024	10:14:47	20.88	8.74	--	--
240	Jan 08 2024	10:14:57	20.87	8.71	--	--
250	Jan 08 2024	10:15:07	20.88	8.71	--	--
260	Jan 08 2024	10:15:17	20.87	8.71	--	--
270	Jan 08 2024	10:15:27	20.88	8.71	--	--
280	Jan 08 2024	10:15:37	20.88	8.71	--	--
290	Jan 08 2024	10:15:47	20.88	8.71	--	--
300	Jan 08 2024	10:15:57	20.88	8.71	--	--
310	Jan 08 2024	10:16:07	20.88	8.71	--	--
320	Jan 08 2024	10:16:17	20.88	8.71	--	--
330	Jan 08 2024	10:16:27	20.88	8.71	--	--
340	Jan 08 2024	10:16:37	20.88	8.71	--	--
350	Jan 08 2024	10:16:47	20.88	8.64	--	--
360	Jan 08 2024	10:16:57	20.88	8.62	--	--
370	Jan 08 2024	10:17:07	20.89	8.60	--	--
380	Jan 08 2024	10:17:17	20.88	8.60	--	--
390	Jan 08 2024	10:17:27	20.89	8.60	--	--
400	Jan 08 2024	10:17:38	20.89	8.60	--	--
410	Jan 08 2024	10:17:48	20.89	8.60	--	--
420	Jan 08 2024	10:17:58	20.88	8.60	--	--
430	Jan 08 2024	10:18:08	20.88	8.60	--	--
440	Jan 08 2024	10:18:18	20.89	8.60	--	--
450	Jan 08 2024	10:18:28	20.89	8.60	--	--
460	Jan 08 2024	10:18:38	20.88	8.60	--	--
470	Jan 08 2024	10:18:48	20.90	8.60	--	--
480	Jan 08 2024	10:18:58	20.89	8.60	--	--
490	Jan 08 2024	10:19:08	20.89	8.62	--	--
500	Jan 08 2024	10:19:18	20.90	8.60	--	--
510	Jan 08 2024	10:19:28	20.90	8.60	--	--
520	Jan 08 2024	10:19:38	20.91	8.60	--	--
530	Jan 08 2024	10:19:48	20.91	8.60	--	--
540	Jan 08 2024	10:19:58	20.91	8.60	--	--
550	Jan 08 2024	10:20:08	20.92	8.60	--	--
560	Jan 08 2024	10:20:18	20.93	8.60	--	--
570	Jan 08 2024	10:20:28	20.93	8.60	--	--
580	Jan 08 2024	10:20:39	20.94	8.60	--	--
590	Jan 08 2024	10:20:49	20.94	8.60	--	--
600	Jan 08 2024	10:20:59	20.94	8.60	--	--
610	Jan 08 2024	10:21:09	20.94	8.60	--	--
620	Jan 08 2024	10:21:19	20.94	8.60	--	--
630	Jan 08 2024	10:21:29	20.95	8.60	--	--
640	Jan 08 2024	10:21:39	20.95	8.68	--	--
650	Jan 08 2024	10:21:49	20.95	8.66	--	--
660	Jan 08 2024	10:21:59	20.95	8.66	--	--
670	Jan 08 2024	10:22:09	20.95	8.66	--	--
680	Jan 08 2024	10:22:19	20.95	8.62	--	--
690	Jan 08 2024	10:22:29	20.96	8.68	--	--
700	Jan 08 2024	10:22:39	20.96	8.70	--	--
710	Jan 08 2024	10:22:49	20.96	8.70	--	--
720	Jan 08 2024	10:22:59	20.97	8.70	--	--
730	Jan 08 2024	10:23:09	20.97	8.80	--	--
740	Jan 08 2024	10:23:19	20.97	8.80	--	--
750	Jan 08 2024	10:23:29	20.96	8.80	--	--
760	Jan 08 2024	10:23:39	20.97	8.80	--	--
770	Jan 08 2024	10:23:49	20.96	8.80	--	--
780	Jan 08 2024	10:24:00	20.96	8.80	--	--
790	Jan 08 2024	10:24:10	20.96	8.80	--	--
800	Jan 08 2024	10:24:20	20.97	8.80	--	--
810	Jan 08 2024	10:24:30	20.97	8.80	--	--
820	Jan 08 2024	10:24:40	20.97	8.80	--	--
830	Jan 08 2024	10:24:50	20.97	8.80	--	--
840	Jan 08 2024	10:25:00	20.97	8.76	--	--
850	Jan 08 2024	10:25:10	20.97	8.70	--	--
860	Jan 08 2024	10:25:20	20.97	8.70	--	--
870	Jan 08 2024	10:25:30	20.97	8.70	--	--
880	Jan 08 2024	10:25:40	20.98	8.70	--	--
890	Jan 08 2024	10:25:50	20.97	8.70	--	--
900	Jan 08 2024	10:26:00	20.97	8.70	--	--
910	Jan 08 2024	10:26:10	20.98	8.70	--	--
920	Jan 08 2024	10:26:20	20.98	8.70	--	--
930	Jan 08 2024	10:26:30	20.97	8.70	--	--
940	Jan 08 2024	10:26:40	20.98	8.70	--	--
950	Jan 08 2024	10:26:50	20.98	8.64	--	--
960	Jan 08 2024	10:27:00	20.98	8.68	--	--
970	Jan 08 2024	10:27:11	20.98	8.66	--	--
980	Jan 08 2024	10:27:21	20.99	8.60	--	--
990	Jan 08 2024	10:27:31	20.99	8.62	--	--
1000	Jan 08 2024	10:27:41	20.99	8.60	--	--
1010	Jan 08 2024	10:27:51	20.98	8.60	--	--
1020	Jan 08 2024	10:28:01	20.98	8.60	--	--
1030	Jan 08 2024	10:28:11	20.98	8.60	--	--
1040	Jan 08 2024	10:28:21	20.99	8.60	--	--
1050	Jan 08 2024	10:28:31	20.98	8.60	--	--
1060	Jan 08 2024	10:28:41	20.99	8.62	--	--
1070	Jan 08 2024	10:28:51	20.99	8.60	--	--
