Thorlabs Environment Measurement
Device:TSP01B
S/N:M00995273
Measurement Interval:10
Averaging:ON
Time [s]	Date	Time	Temperature[°C]	Humidity[%]	TH1[°C]	TH2[°C]
10	Apr 23 2024	14:53:35	23.56	12.63	--	--
20	Apr 23 2024	14:53:45	23.56	12.63	--	--
30	Apr 23 2024	14:53:55	23.56	12.63	--	--
40	Apr 23 2024	14:54:05	23.55	12.63	--	--
50	Apr 23 2024	14:54:15	23.55	12.63	--	--
60	Apr 23 2024	14:54:25	23.54	12.63	--	--
70	Apr 23 2024	14:54:35	23.54	12.63	--	--
80	Apr 23 2024	14:54:45	23.53	12.61	--	--
90	Apr 23 2024	14:54:55	23.53	12.59	--	--
100	Apr 23 2024	14:55:05	23.53	12.58	--	--
110	Apr 23 2024	14:55:15	23.53	12.57	--	--
120	Apr 23 2024	14:55:26	23.53	12.57	--	--
130	Apr 23 2024	14:55:36	23.53	12.55	--	--
140	Apr 23 2024	14:55:46	23.53	12.54	--	--
150	Apr 23 2024	14:55:56	23.53	12.55	--	--
160	Apr 23 2024	14:56:06	23.53	12.54	--	--
170	Apr 23 2024	14:56:16	23.53	12.54	--	--
180	Apr 23 2024	14:56:26	23.53	12.54	--	--
190	Apr 23 2024	14:56:36	23.53	12.54	--	--
200	Apr 23 2024	14:56:46	23.53	12.54	--	--
210	Apr 23 2024	14:56:56	23.53	12.54	--	--
220	Apr 23 2024	14:57:06	23.53	12.54	--	--
230	Apr 23 2024	14:57:16	23.53	12.55	--	--
240	Apr 23 2024	14:57:26	23.53	12.55	--	--
250	Apr 23 2024	14:57:36	23.53	12.63	--	--
260	Apr 23 2024	14:57:47	23.53	12.64	--	--
270	Apr 23 2024	14:57:57	23.53	12.64	--	--
280	Apr 23 2024	14:58:07	23.53	12.64	--	--
290	Apr 23 2024	14:58:17	23.53	12.64	--	--
300	Apr 23 2024	14:58:27	23.53	12.64	--	--
310	Apr 23 2024	14:58:37	23.53	12.64	--	--
320	Apr 23 2024	14:58:47	23.53	12.64	--	--
330	Apr 23 2024	14:58:57	23.53	12.64	--	--
340	Apr 23 2024	14:59:07	23.53	12.64	--	--
