QSUM Temperature and Humidity Monitor Log
Device:TSP01B
S/N:M00995273
Measurement Interval:10
Begin Data Table
Time [s]	Date	Time	Temperature[°C]	Humidity[%]	TH1[°C]	TH2[°C]
New	May 14 2024	12:46:27	24.05	0.00	--	--
New	May 14 2024	12:46:37	23.80	0.00	--	--
New	May 14 2024	12:46:47	23.74	0.00	--	--
New	May 14 2024	12:46:57	23.54	0.00	--	--
New	May 14 2024	12:47:07	23.47	0.00	--	--
New	May 14 2024	12:47:17	23.50	0.00	--	--
New	May 14 2024	12:47:27	23.43	0.00	--	--
New	May 14 2024	12:47:37	23.61	0.00	--	--
New	May 14 2024	12:47:47	23.49	0.00	--	--
New	May 14 2024	12:47:57	23.56	0.00	--	--
New	May 14 2024	12:48:08	23.50	0.00	--	--
New	May 14 2024	12:48:18	23.32	0.00	--	--
New	May 14 2024	12:48:28	23.33	0.00	--	--
New	May 14 2024	12:48:38	23.58	0.00	--	--
New	May 14 2024	12:48:48	23.39	0.00	--	--
New	May 14 2024	12:48:58	23.54	0.00	--	--
New	May 14 2024	12:49:08	23.55	0.00	--	--
New	May 14 2024	12:49:18	23.54	0.00	--	--
New	May 14 2024	12:49:28	23.80	0.00	--	--
New	May 14 2024	12:49:38	23.57	0.00	--	--
New	May 14 2024	12:49:48	23.62	0.00	--	--
New	May 14 2024	12:49:59	22.99	0.00	--	--
New	May 14 2024	12:52:51	23.40	0.00	--	--
New	May 14 2024	12:53:01	23.44	0.00	--	--
New	May 14 2024	12:53:12	23.45	0.00	--	--
New	May 14 2024	12:53:22	23.46	0.00	--	--
New	May 14 2024	12:53:32	23.41	0.00	--	--
New	May 14 2024	12:53:42	23.45	0.00	--	--
New	May 14 2024	12:53:52	23.45	0.00	--	--
New	May 14 2024	12:54:02	23.29	0.00	--	--
New	May 14 2024	12:54:12	23.21	0.00	--	--
New	May 14 2024	12:54:22	23.31	0.00	--	--
New	May 14 2024	12:54:32	23.34	0.00	--	--
New	May 14 2024	12:55:02	23.68	0.00	--	--
New	May 14 2024	12:55:12	23.62	0.00	--	--
New	May 14 2024	12:55:22	23.73	0.00	--	--
New	May 14 2024	12:55:32	23.68	0.00	--	--
New	May 14 2024	12:55:42	23.52	0.00	--	--
New	May 14 2024	12:55:52	23.47	0.00	--	--
New	May 14 2024	12:56:02	23.43	0.00	--	--
New	May 14 2024	12:56:13	23.56	0.00	--	--
New	May 14 2024	12:56:23	23.64	0.00	--	--
New	May 14 2024	12:56:33	23.66	0.00	--	--
New	May 14 2024	12:56:43	23.47	0.00	--	--
New	May 14 2024	12:56:53	23.34	0.00	--	--
New	May 14 2024	12:57:03	23.58	0.00	--	--
New	May 14 2024	12:57:13	23.54	0.00	--	--
New	May 14 2024	12:57:23	23.66	0.00	--	--
New	May 14 2024	12:57:33	23.72	0.00	--	--
